id,id_municipio,id_tipo_institucion,id_nivel_institucion,nombre,siglas,direccion,telefono,fecha_creacion
147,1,1,1,"MUNICIPALIDAD DE SAN ANTONIO HUISTA, HUEHUETENANGO",GT-NIT-5992893,,,
148,1,1,1,"MUNICIPALIDAD DE MOMOSTENANGO, TOTONICAPÁN",GT-NIT-6563163,,,
149,1,1,1,MUNICIPALIDAD DE TODOS SANTOS CUCHUMATAN,GT-NIT-5981344,,,
150,1,1,1,"MUNICIPALIDAD DE SAN JUAN SACATEPEQUEZ, GUATEMALA",GT-NIT-6284884,,,
151,1,1,1,"MUNICIPALIDAD DE SAN PABLO, SAN MARCOS",GT-NIT-6157149,,,
152,1,1,1,EMPRESA ELÉCTRICA MUNICIPAL DE HUEHUETENANGO,GT-NIT-4241045,,,
153,1,1,1,"MUNICIPALIDAD DE USPANTAN, QUICHÉ",GT-NIT-5562791,,,
154,1,1,1,"MUNICIPALIDAD DE SAN PEDRO SACATEPEQUEZ, SAN MARCOS",GT-NIT-4236289,,,
155,1,1,1,ZONA LIBRE DE INDUSTRIA Y COMERCIO SANTO TOMÁS DE CASTILLA -ZOLIC-,GT-NIT-3303330,,,
156,1,1,1,INSTITUTO NACIONAL DE COMERCIALIZACIÓN AGRÍCOLA -INDECA-,GT-NIT-3190161,,,
157,1,1,1,ASOCIACION AGROPECUARIA SEPURUL,GT-NIT-44706928,,,
158,1,1,1,"MUNICIPALIDAD DE SAN CARLOS SIJA, QUETZALTENANGO",GT-NIT-6037127,,,
159,1,1,1,ASOCIACION LIGA NACIONAL CONTRA EL CANCER,GT-NIT-355062,,,
160,1,1,1,"MUNICIPALIDAD DE CHAMPERICO, RETALHULEU",GT-NIT-6232590,,,
161,1,1,1,"MUNICIPALIDAD DE SAN ANTONIO SACATEPEQUEZ, SAN MARCOS",GT-NIT-6556086,,,
162,1,1,1,PLAN DE PRESTACIONES DEL EMPLEADO MUNICIPAL,GT-NIT-662037K,,,
163,1,1,1,FUNDACION DE ASISTENCIA SOCIAL DE LA IGLESIA CATOLICA DE LA ARQUIDIOCESIS DE GUATEMALA,GT-NIT-3224511,,,
164,1,1,1,"MUNICIPALIDAD DE SAN MARCOS, SAN MARCOS",GT-NIT-1766562,,,
165,1,1,1,"MUNICIPALIDAD DE SANTA LUCIA MILPAS ALTAS, SACATEPÉQUEZ",GT-NIT-6248608,,,
166,1,1,1,"MUNICIPALIDAD DE ALOTENANGO, SACATEPÉQUEZ",GT-NIT-6262562,,,
167,1,1,1,"MUNICIPALIDAD DE ZUNIL, QUETZALTENANGO",GT-NIT-6199992,,,
168,1,1,1,"MUNICIPALIDAD DE HUITE, ZACAPA",GT-NIT-615722K,,,
169,1,1,1,EMPRESA ELECTRICA MUNICIPAL DE PUERTO BARRIOS,GT-NIT-2399083,,,
170,1,1,1,"MUNICIPALIDAD DE SAN BARTOLO, TOTONICAPÁN",GT-NIT-4208323,,,
171,1,1,1,"MUNICIPALIDAD DE SALAMA, BAJA VERAPAZ",GT-NIT-4246306,,,
172,1,1,1,TRIBUNAL ELECCIONARIO DEL DEPORTE FEDERADO,GT-NIT-17555051,,,
173,1,1,1,"MUNICIPALIDAD DE SANARATE, EL PROGRESO",GT-NIT-1716719,,,
174,1,1,1,FIDEICOMISO PARA LA PLANIFICACION Y DESARROLLO DEL MUNICIPIO DE VILLA NUEVA,GT-NIT-37253107,,,
175,1,1,1,"MUNICIPALIDAD DE EL ASINTAL, RETALHULEU",GT-NIT-5349125,,,
